,cv,size,err
0,loos,50.0,8.55047156892
1,loos,100.0,8.05927651437
2,loos,200.0,7.53090419817
3,loos,300.0,7.19807352913
4,loos,400.0,7.03688282213
5,loos,500.0,6.96545623208
6,loos,600.0,6.86251401405
7,loos,700.0,6.76026822313
8,loos,800.0,6.70379164473
9,loos,900.0,6.63358228111
10,rand,50.0,8.14406263358
11,rand,100.0,7.60899641813
12,rand,200.0,7.07474480841
13,rand,300.0,6.81859054485
14,rand,400.0,6.63074320319
15,rand,500.0,6.47869962643
16,rand,600.0,6.38825492485
17,rand,700.0,6.31396403417
18,rand,800.0,6.2307174167
19,rand,900.0,6.16578482419
